                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  5.184,                 6.9055,                 4.2028,                      0,                      0,                      0,                      0,                 2.6188,                 76.525,                 2.0813,                0.00011,                0.00011,                0.00011
                      2,                 5.2065,                 6.6807,                 4.1624,                      0,                      0,                      0,                      0,                 2.6117,                 76.515,                 2.0795,             0.00022977,             0.00022977,             0.00022977
                      3,                  5.125,                 6.3498,                 4.1132,                      0,                      0,                      0,                      0,                 2.5963,                 68.612,                 2.0706,             0.00034931,             0.00034931,             0.00034931
                      4,                 5.2939,                 6.4492,                 4.0684,                      0,                      0,                      0,                      0,                 2.5693,                 65.522,                 2.0484,              0.0004686,              0.0004686,              0.0004686
                      5,                 5.0222,                 7.5527,                 3.9863,                      0,                      0,                      0,                      0,                 2.5606,                 23.642,                 2.0374,             0.00058766,             0.00058766,             0.00058766
                      6,                 4.2236,                 5.5835,                 3.8263,                      0,                      0,                      0,                      0,                 2.6195,                 22.386,                 2.0762,             0.00070649,             0.00070649,             0.00070649
                      7,                 3.9185,                 5.1546,                 3.7346,                      0,                      0,                      0,                      0,                 2.0122,                 26.588,                 1.7881,             0.00082507,             0.00082507,             0.00082507
                      8,                 3.7485,                 4.9457,                 3.4826,                      0,                      0,                      0,                      0,                 2.0266,                 26.732,                 1.7842,             0.00094342,             0.00094342,             0.00094342
                      9,                 3.7115,                 4.8638,                 3.4732,                0.00446,                0.25833,                0.00685,                 0.0019,                 1.6102,                 33.817,                 1.5827,             0.00099208,             0.00099208,             0.00099208
                     10,                  3.378,                 4.6044,                 3.2854,                0.88995,                0.08095,                0.06489,                0.01904,                  1.515,                 36.425,                 1.4933,             0.00099208,             0.00099208,             0.00099208
                     11,                 3.3916,                 4.5575,                 3.1532,                0.75432,                0.08162,                0.07823,                 0.0247,                 1.4118,                 48.985,                 1.5188,             0.00099109,             0.00099109,             0.00099109
                     12,                 3.2637,                 4.8305,                 3.1666,                0.78616,                0.13095,                0.10845,                0.05236,                 1.3613,                   28.2,                 1.6231,              0.0009901,              0.0009901,              0.0009901
                     13,                 3.0111,                 4.1073,                  3.027,                0.89669,                0.08095,                0.08881,                0.03452,                 1.3484,                 77.564,                 1.4565,             0.00098911,             0.00098911,             0.00098911
                     14,                 3.1357,                 4.2036,                 3.0294,                 0.9027,                0.08571,                0.08946,                0.04794,                 1.2355,                 43.532,                 1.4718,             0.00098812,             0.00098812,             0.00098812
                     15,                 2.9774,                 3.8558,                 2.9171,                0.72163,                0.21748,                0.08463,                0.04507,                 1.2045,                 40.112,                 1.4542,             0.00098713,             0.00098713,             0.00098713
                     16,                 2.9816,                 4.3766,                 2.8056,                0.91259,                0.12092,                0.10942,                 0.0536,                 1.2147,                 32.418,                 1.4243,             0.00098614,             0.00098614,             0.00098614
                     17,                 2.9231,                 4.1481,                 2.8725,                0.74557,                0.12844,                0.11431,                0.06412,                 1.1555,                 24.547,                 1.3752,             0.00098515,             0.00098515,             0.00098515
                     18,                 2.8531,                 4.0055,                 2.7733,                 0.9028,                0.09529,                0.09044,                0.04109,                 1.3017,                 18.046,                 1.3985,             0.00098416,             0.00098416,             0.00098416
                     19,                 2.8163,                 3.8742,                 2.8088,                0.92061,                0.14286,                0.11115,                0.06249,                 1.1311,                 25.648,                 1.3198,             0.00098317,             0.00098317,             0.00098317
                     20,                 2.7223,                 3.4806,                 2.6699,                0.93061,                0.14286,                0.12836,                0.07357,                  1.138,                 28.976,                  1.325,             0.00098218,             0.00098218,             0.00098218
                     21,                 2.6286,                 3.7106,                 2.6647,                0.74049,                0.17381,                0.14093,                 0.0812,                 1.0508,                 24.073,                 1.3107,             0.00098119,             0.00098119,             0.00098119
                     22,                 2.6815,                 3.3519,                 2.6499,                0.72697,                 0.0621,                0.08595,                0.03616,                 1.0876,                 17.481,                 1.3271,              0.0009802,              0.0009802,              0.0009802
                     23,                 2.5195,                 3.4847,                 2.6157,                0.75516,                0.19174,                0.14422,                0.07759,                 1.0495,                 16.186,                  1.325,             0.00097921,             0.00097921,             0.00097921
                     24,                 2.4688,                 3.2763,                 2.6292,                0.93843,                0.13009,                0.15109,                0.07753,                 1.0512,                 18.755,                 1.3026,             0.00097822,             0.00097822,             0.00097822
                     25,                 2.3709,                 3.1992,                 2.4591,                0.76993,                0.17262,                0.12653,                0.06011,                 1.0861,                 18.846,                 1.2735,             0.00097723,             0.00097723,             0.00097723
                     26,                 2.4237,                 3.2281,                 2.4954,                 0.7909,                0.17178,                0.14609,                0.07798,                 1.0582,                 15.376,                 1.2716,             0.00097624,             0.00097624,             0.00097624
                     27,                 2.4367,                 3.1365,                 2.4864,                0.79408,                0.16786,                0.14134,                0.05994,                  1.221,                  16.37,                 1.3554,             0.00097525,             0.00097525,             0.00097525
                     28,                 2.4194,                 2.8779,                 2.4529,                0.93587,                0.12945,                0.15961,                0.07391,                 1.1106,                 18.125,                 1.3327,             0.00097426,             0.00097426,             0.00097426
                     29,                 2.5288,                 2.9772,                 2.5274,                0.92581,                 0.1381,                0.17673,                0.09495,                0.99661,                  19.23,                 1.2604,             0.00097327,             0.00097327,             0.00097327
